TRACT,meanHSize,percent_bachelorPlus,totalRace1,totalRace2,meanvalence
4307.21,2.71,50.5,958,330,5.902173855
4307.23,2.76,52.5,822,353,5.734650888
4307.24,2.56,49,814,548,5.810131983
4308.01,2.95,47.9,900,926,5.80546512
4308.02,3.12,58.3,935,107,5.827288384
4308.03,2.94,53,1266,666,5.700135233
4309.01,2.8,29.6,936,1518,5.849173402
4309.02,2.81,33,1239,1253,5.897427154
4310.01,2.82,28.1,2222,2553,5.813403903
4310.02,2.68,40,1186,774,5.914823422
4311,3.41,21.9,1279,2894,5.813460169
4312,3.96,12.1,554,3606,5.722983204
4313,3.18,34.4,997,648,5.685664751
4314,2.95,36.9,707,1203,5.807476086
4315.01,2.64,27.9,865,1162,5.747638775
4315.02,3.16,29.2,1005,1007,5.850572086
4316,3.16,51.9,835,243,5.860741314
4317,3.32,49.3,1415,178,5.763749962
4318,2.99,44.5,1047,1031,5.774618153
4319,2.99,36.6,634,775,5.942305524
4320,2.88,40.7,1659,1325,5.917809242
4321.01,3.23,32.2,803,812,5.799246663
4321.02,3.22,37.5,1042,707,5.70205234
4322.01,3.21,21.6,425,580,5.674609315
4322.02,3.63,23.4,343,1095,5.862755619
4323,3.52,17,231,1666,5.849819069
4324.01,3.72,13.3,237,1615,5.683823157
4324.02,3.6,7.7,492,3212,5.810337027
4325,3.41,14,889,3205,5.692153419
4326.01,3.7,12.8,326,3018,5.676505753
4326.02,3.94,19.6,128,1748,5.754130169
4327,3.88,9.4,234,3256,5.80380914
4328.01,3.1,6.8,94,1436,5.874265064
4328.02,3.46,10.1,35,2581,5.80580602
4329.01,3.78,17.7,228,979,5.82243905
4329.02,3.87,19.7,206,1190,5.790283509
4331.01,3.83,13.1,153,834,5.848232486
4331.02,3.82,13.5,36,2157,5.722424227
4332,3.85,13.9,354,3459,5.799024414
4333.02,4.07,4.1,52,993,5.695862392
4333.04,3.29,14.4,127,2249,5.781133467
4333.05,4.01,11.2,59,2642,5.743250504
